name,codename,architecture,coresTotal,coresPhysical,speedGzMin,speedGzMax,socket,technologyNodeUnit,technologyNodeValue,cacheL3Unit,cacheL3Size,thermalDesignPowerUnit,thermalDesignPowerValue,released
Core i5-1250P,Alder Lake-P,x86_64,16,12,1.7,4.4,BGA 1744,nanometers,10,MB,12,watts,28,2022-02-23
Core i5-12600H,Alder Lake-H,x86_64,16,12,2.7,4.5,BGA 1744,nanometers,10,MB,18,watts,45,2022-01-01
Core i5-12600HX,Alder Lake-HX,x86_64,16,12,2.5,4.6,BGA 1964,nanometers,10,MB,18,watts,55,2022-05-10
Core i5-13500,Raptor Lake-S,x86_64,16,10,2.5,4.6,1700,nanometers,10,MB,20,watts,65,2022
Core i5-13600K,Raptor Lake-S,x86_64,20,14,3.5,5.1,1700,nanometers,10,MB,24,watts,125,2022-09-27
Core i7-1250U,Alder Lake-U,x86_64,12,10,1.1,4.7,BGA 1781,nanometers,10,MB,12,watts,9,2022-02-23
Core i7-1255U,Alder Lake-U,x86_64,12,10,1.7,4.7,BGA 1744,nanometers,10,MB,12,watts,15,2022-02-23
Core i7-1260P,Alder Lake-P,x86_64,16,12,2.1,4.7,BGA 1744,nanometers,10,MB,18,watts,28,2022-02-23
Core i7-1260U,Alder Lake-U,x86_64,12,10,1.1,4.7,BGA 1781,nanometers,10,MB,12,watts,9,2022-02-23
Core i7-12650H,Alder Lake-H,x86_64,16,10,2.3,4.7,BGA 1744,nanometers,10,MB,24,watts,45,2022-01-01
Core i7-12650HX,Alder Lake-HX,x86_64,20,14,2,4.7,BGA 1964,nanometers,10,MB,24,watts,55,2022-05-10
Core i7-1265U,Alder Lake-U,x86_64,12,10,1.8,4.8,BGA 1744,nanometers,10,MB,12,watts,15,2022-02-23
Core i7-12700E,Alder Lake-S,x86_64,20,12,2.1,4.8,1700,nanometers,10,MB,25,watts,65,2022-01-01
Core i7-12700H,Alder Lake-H,x86_64,20,14,2.3,4.7,BGA 1744,nanometers,10,MB,24,watts,45,2022-01-01
Core i7-12700T,Alder Lake-S,x86_64,20,12,1.4,4.7,1700,nanometers,10,MB,25,watts,35,2022-01-01
Core i7-12700TE,Alder Lake-S,x86_64,20,12,1.4,4.6,1700,nanometers,10,MB,25,watts,35,2022-01-01
Core i7-1270P,Alder Lake-P,x86_64,16,12,2.2,4.8,BGA 1744,nanometers,10,MB,18,watts,28,2022-02-23
Core i7-12800H,Alder Lake-H,x86_64,20,14,2.4,4.8,BGA 1744,nanometers,10,MB,24,watts,45,2022-01-01
